,abstract
10,"To reduce poverty and food insecurity in Africa requires raising productivity in agriculture. Systematic use of fertilizer and hybrid seed is a pathway to increased productivity, but adoption of these technologies remains low. We investigate whether the quality of agricultural inputs can help explain low take-up. Testing modern products purchased in local markets, we find that 30% of nutrient is missing in fertilizer, and hybrid maize seed is estimated to contain less than 50% authentic seeds. We document that such low quality results in low average returns. If authentic technologies replaced these low-quality products, however, average returns are high. To rationalize the findings, we calibrate a learning model using data from our agricultural trials. Because agricultural yields are noisy, farmers’ ability to learn about quality is limited and this can help explain the low quality equilibrium we observe, but also why the market has not fully collapsed."
11,"This article studies technology adoption in a cluster of soccer-ball producers in Sialkot, Pakistan. We invented a new cutting technology that reduces waste of the primary raw material and gave the technology to a random subset of producers. Despite the clear net benefits for nearly all firms, after 15 months take-up remained puzzlingly low. We hypothesize that an important reason for the lack of adoption is a misalignment of incentives within firms: the key employees (cutters and printers) are typically paid piece rates, with no incentive to reduce waste, and the new technology slows them down, at least initially. Fearing reductions in their effective wage, employees resist adoption in various ways, including by misinforming owners about the value of the technology. To investigate this hypothesis, we implemented a second experiment among the firms that originally received the technology: we offered one cutter and one printer per firm a lump-sum payment, approximately a month’s earnings, conditional on demonstrating competence in using the technology in the presence of the owner. This incentive payment, small from the point of view of the firm, had a significant positive effect on adoption. The results suggest that misalignment of incentives within firms is an important barrier to technology adoption in our setting."
12,"The nature of the relationship between employers and employees has been changing over the past three decades, with firms increasingly relying on contractors, temp agencies, and franchises rather than hiring employees directly. We investigate the impact of this transformation on the wage structure by following jobs that are moved outside the boundary of lead employers to contracting firms. We develop a new method for identifying outsourcing of food, cleaning, security, and logistics services in administrative data using the universe of social security records in Germany. We document a dramatic growth of domestic outsourcing in Germany since the early 1990s. Event-study analyses show that wages in outsourced jobs fall by approximately 10–15% relative to similar jobs that are not outsourced. We find evidence that the wage losses associated with outsourcing stem from a loss of firm-specific rents, suggesting that labor cost savings are an important reason firms choose to contract out these services. Finally, we tie the increase in outsourcing activity to broader changes in the German wage structure, in particular showing that outsourcing of cleaning, security, and logistics services alone accounts for around 9% of the increase in German wage inequality since the 1980s."
13,"Examining the performance of cashiers in a French grocery store chain, we find that manager bias negatively affects minority job performance. In the stores studied, cashiers work with different managers on different days and their schedules are determined quasi-randomly. When minority cashiers, but not majority cashiers, are scheduled to work with managers who are biased (as determined by an implicit association test), they are absent more often, spend less time at work, scan items more slowly, and take more time between customers. This appears to be because biased managers interact less with minorities, leading minorities to exert less effort. Manager bias has consequences for the average performance of minority workers: while on average minority and majority workers perform equivalently, on days where managers are unbiased, minorities perform significantly better than do majority workers. The findings are consistent with statistical discrimination in hiring whereby because minorities underperform when assigned to biased managers, the firm sets a higher hiring standard for minorities to get similar average performance from minority and nonminority workers."
14,"Measuring consumer responsiveness to medical care prices is a central issue in health economics and a key ingredient in the optimal design and regulation of health insurance markets. We leverage a natural experiment at a large self-insured firm that required all of its employees to switch from an insurance plan that provided free health care to a nonlinear, high-deductible plan. The switch caused a spending reduction between 11.8% and 13.8% of total firm-wide health spending. We decompose this spending reduction into the components of (i) consumer price shopping, (ii) quantity reductions, and (iii) quantity substitutions and find that spending reductions are entirely due to outright reductions in quantity. We find no evidence of consumers learning to price shop after two years in high-deductible coverage. Consumers reduce quantities across the spectrum of health care services, including potentially valuable care (e.g., preventive services) and potentially wasteful care (e.g., imaging services). To better understand these changes, we study how consumers respond to the complex structure of the high-deductible contract. Consumers respond heavily to spot prices at the time of care, reducing their spending by 42% when under the deductible, conditional on their true expected end-of-year price and their prior year end-of-year marginal price. There is no evidence of learning to respond to the true shadow price in the second year post-switch."
15,"We examine the health plan choices that 23,894 employees at a U.S. firm made from a large menu of options that differed only in financial cost-sharing and premium. These decisions provide a clear test of the predictions of the standard economic model of insurance choice in the absence of choice frictions because plans were priced so that nearly every plan with a lower deductible was financially dominated by an otherwise identical plan with a high deductible. We document that the majority of employees chose dominated plans, which resulted in excess spending equivalent to 24% of chosen plan premiums. Low-income employees were significantly more likely to choose dominated plans, and most employees did not switch into more financially efficient plans in the subsequent year. We show that the choice of dominated plans cannot be rationalized by standard risk preference or any expectations about health risk. Testing alternative explanations with a series of hypothetical-choice experiments, we find that the popularity of dominated plans was not primarily driven by the size and complexity of the plan menu, nor informed preferences for avoiding high deductibles, but by employees’ lack of understanding of health insurance. Our findings challenge the standard practice of inferring risk preferences from insurance choices and raise doubts about the welfare benefits of health reforms that expand consumer choice."
16,"Using U.S. data from 1929 to 2015, we show that elevated credit-market sentiment in year t ? 2 is associated with a decline in economic activity in years t and t + 1. Underlying this result is the existence of predictable mean reversion in credit-market conditions. When credit risk is aggressively priced, spreads subsequently widen. The timing of this widening is, in turn, closely tied to the onset of a contraction in economic activity. Exploring the mechanism, we find that buoyant credit-market sentiment in year t ? 2 also forecasts a change in the composition of external finance: net debt issuance falls in year t, while net equity issuance increases, consistent with the reversal in credit-market conditions leading to an inward shift in credit supply. Unlike much of the current literature on the role of financial frictions in macroeconomics, this article suggests that investor sentiment in credit markets can be an important driver of economic fluctuations."
17,"We study the effects of a credit crunch on consumer spending in a heterogeneous-agent incomplete-market model. After an unexpected permanent tightening in consumers’ borrowing capacity, constrained consumers are forced to repay their debt, and unconstrained consumers increase their precautionary savings. This depresses interest rates, especially in the short run, and generates an output drop, even with flexible prices. The output drop is larger with sticky prices, if the zero lower bound prevents the interest rate from adjusting downward. Adding durable goods to the model, households take larger debt positions and the output response can be larger."
18,"This study investigates how banks design financial products to cater to yield-seeking investors. We focus on a large market of investment products targeted exclusively at households: retail structured products. These products typically offer a high return under their best-case scenario—the headline rate—that is nested in a complex payoff formula. Using a text analysis of the payoff formulas of the 55,000 products issued in Europe from 2002 to 2010, we measure product headline rates, complexity, and risk. Over this period, product headline rates depart from the prevailing interest rates as the latter decrease, complexity increases, and risky products become more common. In the cross section, the headline rate of a product is positively correlated with its level of complexity and risk. Higher headline rate, more complex, and riskier products appear more profitable to the banks distributing them. Our results suggest that financial complexity is a by-product of banks catering to yield-seeking investors."
19,"We develop a theory of legislative competition in which voters care about local candidate valence and national party positions that are determined by the parties’ median legislators. As long as election outcomes are sufficiently predictable, the only stable equilibria exhibit policy divergence between the parties. If the degree of uncertainty about election outcomes decreases, and if voters place less weight on local candidates’ valence, polarization between the parties increases. Furthermore, a systematic electoral shock makes the party favored by the shock more moderate, while the disadvantaged party becomes more extreme. Finally, we examine data on state elections and the ideological positions of state legislatures and find patterns that are consistent with key predictions of our model."
20,"We conduct a randomized experiment that generates exogenous variation in the access to foreign markets for rug producers in Egypt. Combined with detailed survey data, we causally identify the impact of exporting on firm performance. Treatment firms report 16–26% higher profits and exhibit large improvements in quality alongside reductions in output per hour relative to control firms. These findings do not simply reflect firms being offered higher margins to manufacture high-quality products that take longer to produce. Instead, we find evidence of learning-by-exporting whereby exporting improves technical efficiency. First, treatment firms have higher productivity and quality after controlling for rug specifications. Second, when asked to produce an identical domestic rug using the same inputs and same capital equipment, treatment firms produce higher quality rugs despite no difference in production time. Third, treatment firms exhibit learning curves over time. Finally, we document knowledge transfers with quality increasing most along the specific dimensions that the knowledge pertained to."
21,"A Ramsey planner chooses a distorting tax on labor and manages a portfolio of securities in an economy with incomplete markets. We develop a method that uses second order approximations of Ramsey policies to obtain formulas for conditional and unconditional moments of government debt and taxes that include means and variances of the invariant distribution as well as speeds of mean reversion. The asymptotic mean of the planner's portfolio minimizes a measure of fiscal risk. We obtain analytic expressions that approximate moments of the invariant distribution and apply them to data on a primary government deficit, aggregate consumption, and returns on traded securities. For U.S. data, we find that the optimal target debt level is negative but close to zero, the invariant distribution of debt is very dispersed, and mean reversion is slow."
22,"We propose a new measure of the economic importance of each innovation. Our measure uses newly collected data on patents issued to U.S. firms in the 1926 to 2010 period, combined with the stock market response to news about patents. Our patent-level estimates of private economic value are positively related to the scientific value of these patents, as measured by the number of citations the patent receives in the future. Our new measure is associated with substantial growth, reallocation, and creative destruction, consistent with the predictions of Schumpeterian growth models. Aggregating our measure suggests that technological innovation accounts for significant medium-run fluctuations in aggregate economic growth and TFP. Our measure contains additional information relative to citation-weighted patent counts; the relation between our measure and firm growth is considerably stronger. Importantly, the degree of creative destruction that is associated with our measure is higher than previous estimates, confirming that it is a useful proxy for the private valuation of patents."
23,"By analyzing 20 developed economies over 1920–2012, we find the following evidence of overoptimism and neglect of crash risk by bank equity investors during credit expansions: (i) bank credit expansion predicts increased bank equity crash risk, but despite the elevated crash risk, also predicts lower mean bank equity returns in subsequent one to three years; (ii) conditional on bank credit expansion of a country exceeding a 95th percentile threshold, the predicted excess return for the bank equity index in subsequent three years is ?37.3%; and (iii) bank credit expansion is distinct from equity market sentiment captured by dividend yield and yet dividend yield and credit expansion interact with each other to make credit expansion a particularly strong predictor of lower bank equity returns when dividend yield is low."
24,"I analyze the behavior of risk premia in financial crises, wars, and recessions in an international panel spanning over 140 years and 14 countries. I document that expected returns, or risk premia, increase substantially in financial crises, but not in the other episodes. Asset prices decline in all episodes, but the decline in financial crises is substantially larger than the decline in fundamentals so that expected returns going forward are large. However, drops in consumption and consumption volatility are fairly similar across financial crises and recessions and are largest during wars, so asset pricing models based on aggregate consumption have trouble matching these facts. Comparing crises to “deep” recessions strengthens these findings further. By disentangling financial crises from other bad macroeconomic times, the results suggest that financial crises are particularly important to understanding why risk premia vary. I discuss implications for theory more broadly and discuss both rational and behavioral models that are consistent with the facts. Theories where asset prices are related to the health of the financial sector appear particularly promising."
25,"We study how women's choices over labor activities in village economies correlate with poverty and whether enabling the poorest women to take on the activities of their richer counterparts can set them on a sustainable trajectory out of poverty. To do this we conduct a large-scale randomized control trial, covering over 21,000 households in 1,309 villages surveyed four times over a seven-year period, to evaluate a nationwide program in Bangladesh that transfers livestock assets and skills to the poorest women. At baseline, the poorest women mostly engage in low return and seasonal casual wage labor while wealthier women solely engage in livestock rearing. The program enables poor women to start engaging in livestock rearing, increasing their aggregate labor supply and earnings. This leads to asset accumulation (livestock, land, and business assets) and poverty reduction, both sustained after four and seven years. These gains do not crowd out the livestock businesses of noneligible households while the wages these receive for casual jobs increase as the poor reduce their labor supply. Our results show that (i) the poor are able to take on the work activities of the nonpoor but face barriers to doing so, and, (ii) one-off interventions that remove these barriers lead to sustainable poverty reduction."
26,"Conventional value-added models (VAMs) compare average test scores across schools after regression-adjusting for students’ demographic characteristics and previous scores. This article tests for VAM bias using a procedure that asks whether VAM estimates accurately predict the achievement consequences of random assignment to specific schools. Test results from admissions lotteries in Boston suggest conventional VAM estimates are biased, a finding that motivates the development of a hierarchical model describing the joint distribution of school value-added, bias, and lottery compliance. We use this model to assess the substantive importance of bias in conventional VAM estimates and to construct hybrid value-added estimates that optimally combine ordinary least squares and lottery-based estimates of VAM parameters. The hybrid estimation strategy provides a general recipe for combining nonexperimental and quasi-experimental estimates. While still biased, hybrid school value-added estimates have lower mean squared error than conventional VAM estimates. Simulations calibrated to the Boston data show that, bias notwithstanding, policy decisions based on conventional VAMs that control for lagged achievement are likely to generate substantial achievement gains. Hybrid estimates that incorporate lotteries yield further gains."
27,"We investigate how multinational firms contribute to the transmission of shocks across countries using a large multicountry firm-level data set that contains cross-border ownership information. We use these data to document two novel empirical patterns. First, foreign affiliate and headquarter sales exhibit strong positive comovement: a 10% growth in the sales of the headquarter is associated with a 2% growth in the sales of the affiliate. Second, shocks to the source country account for a significant fraction of the variation in sales growth at the source-destination level. We propose a parsimonious quantitative model to interpret these findings and to evaluate the role of multinational firms for international business cycle transmission. For the typical country, the impact of foreign shocks transmitted by all foreign multinationals combined is non-negligible, accounting for about 10% of aggregate productivity shocks. On the other hand, since bilateral multinational production shares are small, interdependence between most individual country pairs is minimal. Our results do reveal substantial heterogeneity in the strength of this mechanism, with the most integrated countries significantly more affected by foreign shocks."
28,"We disaggregate the self-employed into incorporated and unincorporated to distinguish between “entrepreneurs” and other business owners. We show that the incorporated self-employed and their businesses engage in activities that demand comparatively strong nonroutine cognitive abilities, while the unincorporated and their firms perform tasks demanding relatively strong manual skills. People who become incorporated business owners tend to be more educated and—as teenagers—score higher on learning aptitude tests, exhibit greater self-esteem, and engage in more illicit activities than others. The combination of “smart” and “illicit” tendencies as youths accounts for both entry into entrepreneurship and the comparative earnings of entrepreneurs. Individuals tend to experience a material increase in earnings when becoming entrepreneurs, and this increase occurs at each decile of the distribution."
29,"We initiate the study of naïveté-based discrimination, the practice of conditioning offers on external information about consumers’ naïveté. Knowing that a consumer is naive increases a monopolistic or competitive firm's willingness to generate inefficiency to exploit the consumer's mistakes, so naïveté-based discrimination is not Pareto-improving, can be Pareto-damaging, and often lowers total welfare when classical preference-based discrimination does not. Moreover, the effect on total welfare depends on a hitherto unemphasized market feature: the extent to which the exploitation of naive consumers distorts trade with different types of consumers. If the distortion is homogeneous across naive and sophisticated consumers, then under an arguably weak and empirically testable condition, naïveté-based discrimination lowers total welfare. In contrast, if the distortion arises only for trades with sophisticated consumers, then perfect naïveté-based discrimination maximizes social welfare, although imperfect discrimination often lowers welfare. If the distortion arises only for trades with naive consumers, then naïveté-based discrimination has no effect on welfare. We identify applications for each of these cases. In our primary example, a credit market with present-biased borrowers, firms lend more than is socially optimal to increase the amount of interest naive borrowers unexpectedly pay, creating a homogeneous distortion. The condition for naïveté-based discrimination to lower welfare is then weaker than prudence."
30,"We present the results of three large-scale randomized controlled trials (RCTs) carried out in Chicago, testing interventions to reduce crime and dropout by changing the decision making of economically disadvantaged youth. We study a program called Becoming a Man (BAM), developed by the nonprofit Youth Guidance, in two RCTs implemented in 2009–2010 and 2013–2015. In the two studies participation in the program reduced total arrests during the intervention period by 28–35%, reduced violent-crime arrests by 45–50%, improved school engagement, and in the first study where we have follow-up data, increased graduation rates by 12–19%. The third RCT tested a program with partially overlapping components carried out in the Cook County Juvenile Temporary Detention Center (JTDC), which reduced readmission rates to the facility by 21%. These large behavioral responses combined with modest program costs imply benefit-cost ratios for these interventions from 5-to-1 up to 30-to-1 or more. Our data on mechanisms are not ideal, but we find no positive evidence that these effects are due to changes in emotional intelligence or social skills, self-control or “grit,” or a generic mentoring effect. We find suggestive support for the hypothesis that the programs work by helping youth slow down and reflect on whether their automatic thoughts and behaviors are well suited to the situation they are in, or whether the situation could be construed differently."
31,"This article develops a model of optimal government debt maturity in which the government cannot issue state-contingent bonds and cannot commit to fiscal policy. If the government can perfectly commit, it fully insulates the economy against government spending shocks by purchasing short-term assets and issuing long-term debt. These positions are quantitatively very large relative to GDP and do not need to be actively managed by the government. Our main result is that these conclusions are not robust to the introduction of lack of commitment. Under lack of commitment, large and tilted debt positions are very expensive to finance ex ante since they exacerbate the problem of lack of commitment ex post. In contrast, a flat maturity structure minimizes the cost of lack of commitment, though it also limits insurance and increases the volatility of fiscal policy distortions. We show that the optimal time-consistent maturity structure is nearly flat because reducing average borrowing costs is quantitatively more important for welfare than reducing fiscal policy volatility. Thus, under lack of commitment, the government actively manages its debt positions and can approximate optimal policy by confining its debt instruments to consols."
32,"This article explores the effect of news shocks in open economies using worldwide giant oil and gas discoveries as a directly observable measure of news shocks about future output—the delay between a discovery and production is on average four to six years. We first analyze the effects of a discovery in a two-sector small open economy model with a resource sector. We then estimate the effects of giant oil and gas discoveries on a large panel of countries. Our empirical estimates are consistent with the predictions of the model. After an oil or gas discovery, the current account and saving rate decline for the first five years and then rise sharply during the ensuing years. Investment rises robustly soon after the news arrives, whereas GDP does not increase until after five years. Employment rates fall slightly and remain low for a sustained period."
33,"Most international commerce is carried out by multinational firms, which use their foreign affiliates both to serve the market of the host country and to export to other markets outside the host country. In this article, I examine the determinants of multinational firms’ location and production decisions and the welfare implications of multinational production. The few existing quantitative general equilibrium models that incorporate multinational firms achieve tractability by assuming away export platforms—that is, they do not allow foreign affiliates of multinationals to export—or by ignoring fixed costs associated with foreign investment. I develop a quantifiable multicountry general equilibrium model, which tractably handles multinational firms that engage in export platform sales and that face fixed costs of foreign investment. I first estimate the model using German firm-level data to uncover the size and nature of costs of multinational enterprise and show that the fixed costs of foreign investment are large. Second, I calibrate the model to data on trade and multinational production for twelve European and North American countries. Counterfactual analysis reveals that multinationals play an important role in transmitting technological improvements to foreign countries and that the pending Canada-EU trade and investment agreement could divert a sizable fraction of the production of EU multinationals from the U.S. to Canada."
34,"How are optimal taxes affected by superstar phenomena? To answer this question, we extend the Mirrlees model to incorporate an assignment problem in the labor market that generates superstar effects. Perhaps surprisingly, rather than providing a rationale for higher taxes, we show that superstar effects provide a force for lower marginal taxes conditional on the observed distribution of earnings. Superstar effects make the earnings schedule convex, which increases the responsiveness of individual earnings to tax changes. We show that various common elasticity measures must be adjusted upward in optimal tax formulas. Finally, we study a comparative static that does not keep the observed earnings distribution fixed: when superstar technologies are introduced, inequality increases but we obtain a neutrality result, finding optimal taxes unaltered."
35,"This article argues that firms’ balance sheets were instrumental in the transmission of consumer demand shocks during the Great Recession. Using micro-level data from the U.S. Census Bureau, we find that establishments of more highly levered firms experienced significantly larger employment losses in response to declines in local consumer demand. These results are not driven by firms being less productive, having expanded too much prior to the Great Recession, or being generally more sensitive to fluctuations in either aggregate employment or house prices. Likewise, at the county level, we find that counties with more highly levered firms experienced significantly larger declines in employment in response to local consumer demand shocks. Accordingly, firms’ balance sheets also matter for aggregate employment. Our results suggest a possible role for employment policies that target firms directly besides conventional stimulus."
36,"Illiquidity in short-term credit markets during the financial crisis might have severely curtailed the supply of nonbank consumer credit. Using a new data set linking every car sold in the United States to the credit supplier involved in each transaction, we find that the collapse of the asset-backed commercial paper market reduced the financing capacity of such nonbank lenders as captive leasing companies in the automobile industry. As a result, car sales in counties that traditionally depended on nonbank lenders declined sharply. Although other lenders increased their supply of credit, the net aggregate effect of illiquidity on car sales is large and negative. We conclude that the decline in auto sales during the financial crisis was caused in part by a credit supply shock driven by the illiquidity of the most important providers of consumer finance in the auto loan market. These results also imply that interventions aimed at arresting illiquidity in short-term credit markets might have helped contain the real effects of the crisis."
37,"I derive a lower bound on the equity premium in terms of a volatility index, SVIX, that can be calculated from index option prices. The bound implies that the equity premium is extremely volatile and that it rose above 20% at the height of the crisis in 2008. The time-series average of the lower bound is about 5%, suggesting that the bound may be approximately tight. I run predictive regressions and find that this hypothesis is not rejected by the data, so I use the SVIX index as a proxy for the equity premium and argue that the high equity premia available at times of stress largely reflect high expected returns over the very short run. I also provide a measure of the probability of a market crash, and introduce simple variance swaps, tradable contracts based on SVIX that are robust alternatives to variance swaps."
38,"By exploiting a commuting policy that led to a sharp and unexpected inflow of Czech workers to areas along the German-Czech border, we examine the impact of an exogenous immigration-induced labor supply shock on local wages and employment of natives. On average, the supply shock leads to a moderate decline in local native wages and a sharp decline in local native employment. These average effects mask considerable heterogeneity across groups: while younger natives experience larger wage effects, employment responses are particularly pronounced for older natives. This pattern is inconsistent with standard models of immigration but can be accounted for by a model that allows for a larger labor supply elasticity or a higher degree of wage rigidity for older than for young workers. We further show that the employment response is almost entirely driven by diminished inflows of natives into work rather than outflows into other areas or nonemployment, suggesting that “outsiders” shield “insiders” from the increased competition."
39,"Technological advances and the development of social media have made petitions, public protests, and other form of spontaneous activism increasingly common tools for individuals to influence decision makers. To study these phenomena, in this article I present a theory of petitions and public protests that explores their limits as mechanisms to aggregate information. The key assumption is that valuable information is dispersed among citizens. Through petitions and protests, citizens can signal their private information to the policy maker, who can then choose to use it or not. I first show that if citizens’ individual signals are not sufficiently precise, information aggregation is impossible, no matter how large is the population of informed citizens, even if the conflict with the policy maker is small. I then characterize the conditions on conflict and the signal structure that guarantee information aggregation. When these conditions are satisfied, I show that full information aggregation is possible as the population grows to infinity. When they are not satisfied, I show that information aggregation may still be possible if social media are available."
40,"We develop a new index of economic policy uncertainty (EPU) based on newspapercoverage frequency. Several types of evidence—including human readings of 12,000newspaper articles—indicate that our index proxies for movements inpolicy-related economic uncertainty. Our U.S. index spikes near tightpresidential elections, Gulf Wars I and II, the 9/11 attacks, the failure ofLehman Brothers, the 2011 debt ceiling dispute, and other major battles overfiscal policy. Using firm-level data, we find that policy uncertainty isassociated with greater stock price volatility and reduced investment andemployment in policy-sensitive sectors like defense, health care, finance, andinfrastructure construction. At the macro level, innovations in policyuncertainty foreshadow declines in investment, output, and employment in theUnited States and, in a panel vector autoregressive setting, for 12 majoreconomies. Extending our U.S. index back to 1900, EPU rose dramatically in the1930s (from late 1931) and has drifted upward since the 1960s."
41,"This study estimates long-run impacts of a child health investment, exploitingcommunity-wide experimental variation in school-based deworming. The programincreased labor supply among men and education among women, with accompanyingshifts in labor market specialization. Ten years after deworming treatment, menwho were eligible as boys stay enrolled for more years of primary school, work17% more hours each week, spend more time in nonagricultural self-employment,are more likely to hold manufacturing jobs, and miss one fewer meal per week.Women who were in treatment schools as girls are approximately one quarter morelikely to have attended secondary school, halving the gender gap. Theyreallocate time from traditional agriculture into cash crops and nonagriculturalself-employment. We estimate a conservative annualized financial internal rateof return to deworming of 32%, and show that mass deworming may generate more infuture government revenue than it costs in subsidies."
