,Unnamed: 0,abstract
10,10,"Persson and Rossin-Slater (2018) find that prenatal exposure to family ruptures affects childhood and adult mental health, as well as infant physical health. We compare children whose relatives die within 280 days post-conception to children whose relatives die in the year after birth. Matsumoto correctly notes that defining the control group using actual birth dates can bias our estimates. Here, we redefine our control group using expected birth dates. The effects on mental health in childhood and adulthood are statistically indistinguishable from those in our original paper. The infant health impacts are attenuated, but statistically significant in our main specifications."
11,11,"Over 20 percent of prison and jail inmates in the United States are currently awaiting trial, but little is known about the impact of pretrial detention on defendants. This paper uses the detention tendencies of quasi-randomly assigned bail judges to estimate the causal effects of pretrial detention on subsequent defendant outcomes. Using data from administrative court and tax records, we find that pretrial detention significantly increases the probability of conviction, primarily through an increase in guilty pleas. Pretrial detention has no net effect on future crime, but decreases formal sector employment and the receipt of employment- and tax-related government benefits. These results are consistent with (i) pretrial detention weakening defendants' bargaining positions during plea negotiations and (ii) a criminal conviction lowering defendants' prospects in the formal labor market."
12,12,"This paper studies the impact of the mortgage interest tax deduction on equilibrium house prices, rents, homeownership, and welfare. We build a dynamic model of the housing market that features a realistic progressive tax system in which owner-occupied housing services are tax-exempt and mortgage interest payments are tax-deductible. We simulate the effect of tax reform on the housing market. Eliminating the mortgage interest deduction causes house prices to decline, increases homeownership, decreases mortgage debt, and improves welfare. Our findings challenge the widely held view that repealing the preferential tax treatment of mortgages would depress homeownership."
13,13,Policy uncertainty reduces individual welfare when individuals have limited opportunities to mitigate or insure against the resulting consumption fluctuations. We field an original survey to measure the degree of perceived policy uncertainty in Social Security benefits and to estimate the impact of this uncertainty on individual welfare. Our central estimates show that on average individuals are willing to forgo 6 percent of the benefits they are supposed to get under current law to remove the policy uncertainty associated with their future Social Security benefits. This translates to a risk premium from policy uncertainty equal to 10 percent of expected benefits.
14,14,"We use an event study approach to examine the economic consequences of hospital admissions for adults in two datasets: survey data from the Health and Retirement Study, and hospitalization data linked to credit reports. For non-elderly adults with health insurance, hospital admissions increase out-of-pocket medical spending, unpaid medical bills, and bankruptcy, and reduce earnings, income, access to credit, and consumer borrowing. The earnings decline is substantial compared to the out-of-pocket spending increase, and is minimally insured prior to age-eligibility for Social Security Retirement Income. Relative to the insured non-elderly, the uninsured non-elderly experience much larger increases in unpaid medical bills and bankruptcy rates following a hospital admission. Hospital admissions trigger fewer than 5 percent of all bankruptcies in our sample."
15,15,"This paper examines the relationship between the destination of exports and the input prices paid by firms, using detailed customs and firm-product-level data from Portugal. Both ordinary least squares regressions and an instrumental-variable strategy using exchange-rate movements (interacted with indicators for initial exports) as a source of variation in destinations indicate that exporting to richer countries leads firms to pay higher prices for inputs, other things equal. The results are supportive of what we call the income-based quality-choice channel: selling to richer destinations leads firms to raise the average quality of goods they produce and to purchase higher-quality inputs."
16,16,"This paper estimates the incidence of corporate taxes on wages using a 20-year panel of German municipalities exploiting 6,800 tax changes for identification. Using event study designs and difference-in-differences models, we find that workers bear about one-half of the total tax burden. Administrative linked employer-employee data allow us to estimate heterogeneous firm and worker effects. Our findings highlight the importance of labor market institutions and profit-shifting opportunities for the incidence of corporate taxes on wages. Moreover, we show that low-skilled, young, and female employees bear a larger share of the tax burden. This has important distributive implications."
17,17,"This paper studies lying. An agent randomly picks a number from a known distribution. She can then report any number and receive a monetary payoff based only on her report. The paper presents a model of lying costs that generates hypotheses regarding behavior. In an experiment, we find that the highest fraction of lies is from reporting the maximal outcome, but some participants do not make the maximal lie. More participants lie partially when the experimenter cannot observe their outcomes than when the experimenter can verify the observed outcome. Partial lying increases when the prior probability of the highest outcome decreases."
18,18,"We present a novel empirical benchmark for analyzing credit risk using ""pseudo firms"" that purchase traded assets financed with equity and zero-coupon bonds. By no-arbitrage, pseudo bonds are equivalent to Treasuries minus put options on pseudo firm assets. Empirically, like corporate spreads, pseudo bond spreads are large, countercyclical, and predict lower economic growth. Using this framework, we find that bond market illiquidity, investors' overestimation of default risks, and corporate frictions do not seem to explain excessive observed credit spreads but, instead, a risk premium for tail and idiosyncratic asset risks is the primary determinant of corporate spreads."
19,19,"Alphabetical name order is the norm for joint publications in economics. However, alphabetical order confers greater benefits on the first author. In a two-author model, we introduce and study certified random order: the uniform randomization of names made universally known by a commonly understood symbol. Certified random order (i) distributes the gain from first authorship evenly over the alphabet; (ii) allows either author to signal when contributions are extremely unequal; (iii) will invade an environment where alphabetical order is dominant; (iv) is robust to deviations; (v) may be ex ante more efficient than alphabetical order; and (vi) is no more complex than the existing alphabetical system modified by occasional reversal of name order."
20,20,"Using new cross-country survey and experimental data, we investigate how beliefs about intergenerational mobility affect preferences for redistribution in France, Italy, Sweden, the United Kingdom, and the United States. Americans are more optimistic than Europeans about social mobility. Our randomized treatment shows pessimistic information about mobility and increases support for redistribution, mostly for ""equality of opportunity"" policies. We find strong political polarization. Left-wing respondents are more pessimistic about mobility: their preferences for redistribution are correlated with their mobility perceptions; and they support more redistribution after seeing pessimistic information. None of this is true for right-wing respondents, possibly because they see the government as a ""problem"" and not as the ""solution""."
21,21,"Ausubel (2004) introduces a new ascending-bid auction rule for multiple homogeneous objects, called the Ausubel auction, which is a dynamic counterpart of the Vickrey auction. He claims that in the Ausubel auction with private values, sincere bidding by all bidders is an ex post perfect equilibrium. However, we show that this claim does not hold in general by providing a counterexample. We then modify the Ausubel auction so that sincere bidding by all bidders is an ex post perfect equilibrium."
22,22,"In a comment, Okamoto (2018) identifies and corrects a misspecification of the rationing rule in Ausubel (2004). This reply elaborates on the observation that the optimality of truthful bidding in dynamic auctions may be sensitive to the fine details of the rationing rule. It then discusses the wider role of sequential bid processing in restoring truthful bidding."
23,23,"A data buyer faces a decision problem under uncertainty. He can augment his initial private information with supplemental data from a data seller. His willingness to pay for supplemental data is determined by the quality of his initial private information. The data seller optimally offers a menu of statistical experiments. We establish the properties that any revenue-maximizing menu of experiments must satisfy. Every experiment is a non-dispersed stochastic matrix, and every menu contains a fully informative experiment. In the cases of binary states and actions, or binary types, we provide an explicit construction of the optimal menu of experiments."
24,24,"This paper studies the impact of unemployment insurance (UI) on the housing market. Exploiting heterogeneity in UI generosity across US states and over time, we find that UI helps the unemployed avoid mortgage default. We estimate that UI expansions during the Great Recession prevented more than 1.3 million foreclosures and insulated home values from labor market shocks. The results suggest that policies that make mortgages more affordable can reduce foreclosures even when borrowers are severely underwater. An optimal UI policy during housing downturns would weigh, among other benefits and costs, the deadweight losses avoided from preventing mortgage defaults."
25,25,"This paper investigates the role of individual firms in international business-cycle comovement using data covering the universe of French firm-level value added and international linkages over the period 1993?2007. At the micro level, trade and multinational linkages with a particular foreign country are associated with a significantly higher correlation between a firm and that foreign country. The impact of direct linkages on comovement at the micro level has significant macro implications. Without those linkages the correlation between France and foreign countries would fall by about 0.098, or one-third of the observed average correlation of 0.291 in our sample of partner countries."
26,26,"A quantitative model brings together theories linking international trade to quality, technology, and demand for skills. Standard effects of trade on importers and exporters are magnified through domestic input linkages. We estimate the model with data from Colombian manufacturing firms before the 1991 trade liberalization. A counterfactual trade liberalization is broadly consistent with post-liberalization data. It increases skill intensity from 12 to 16 percent, while decreasing sales. Imported inputs, estimated to be of higher quality, and domestic input linkages are quantitatively important. Economies of scale, export expansion, and reallocation of production are small and cannot explain post-liberalization data."
27,27,"We analyze bidding data from uniform price auctions of US Treasury bills and notes between July 2009 and October 2013. Primary dealers consistently bid higher yields compared to direct and indirect bidders. We estimate a structural model of bidding that takes into account informational asymmetries introduced by the bidding system employed by the US Treasury. While primary dealers' estimated willingness-to-pay is higher than direct and indirect bidders', their ability to bid-shade is even higher, leading to higher yield/lower price bids. Total bidder surplus averaged to about three basis points across the sample period along with efficiency losses around two basis points."
28,28,"This paper builds a new internationally comparable database of hours worked to measure how hours vary with income across and within countries. We document that average hours worked per adult are substantially higher in low-income countries than in high-income countries. The pattern of decreasing hours with aggregate income holds for both men and women, for adults of all ages and education levels, and along both the extensive and intensive margin. Within countries, hours worked per worker are also decreasing in the individual wage for most countries, though in the richest countries, hours worked are flat or increasing in the wage. One implication of our findings is that aggregate productivity and welfare differences across countries are larger than currently thought."
29,29,Coordinated single-offer school assignment systems are a popular education reform. We show that uncoordinated offers in NYC's school assignment mechanism generated mismatches. One-third of applicants were unassigned after the main round and later administratively placed at less desirable schools. We evaluate the effects of the new coordinated mechanism based on deferred acceptance using estimated student preferences. The new mechanism achieves 80 percent of the possible gains from a no-choice neighborhood extreme to a utilitarian benchmark. Coordinating offers dominates the effects of further algorithm modifications. Students most likely to be previously administratively assigned experienced the largest gains in welfare and subsequent achievement.
30,30,"A new basis for an international poverty measurement is proposed based on linear programming for specifying the least cost diet and explicit budgeting for nonfood spending. This approach is superior to the World Bank's $1-a-day line because it is (i) clearly related to survival and well being; (ii) comparable across time and space since the same nutritional requirements are used everywhere while nonfood spending is tailored to climate; (iii) adjusts consumption patterns to local prices; (iv) presents no index number problems since solutions are always in local prices; and (v) requires only readily available information. The new approach implies much more poverty than the World Bank's, especially in Asia."
31,31,"We employ a discrete choice experiment in the employment process for a national call center to estimate the willingness to pay distribution for alternative work arrangements relative to traditional office positions. Most workers are not willing to pay for scheduling flexibility, though a tail of workers with high valuations allows for sizable compensating differentials. The average worker is willing to give up 20 percent of wages to avoid a schedule set by an employer on short notice, and 8 percent for the option to work from home. We also document that many job-seekers are inattentive, and we account for this in estimation."
32,32,"Providing information about contributions to public goods is known to generate further contributions. However, it is often impossible to provide verifiable information on contributions. Through a large-scale field experiment and a series of laboratory experiments, I show that nonbinding announcements of support for a public good encourage others to contribute, even when actual contributions might not or cannot be made. Providing a way to easily announce support for a charity increases donations by $865 per workplace fundraising campaign (or 16 percent of average giving). I discuss implications for understanding prosocial behavior and for organizations aiming to increase contributions to public goods."
33,33,"We study cross-country risk sharing as a second-best problem for members of a currency union using an open economy model with nominal rigidities and provide two key results. First, we show that if financial markets are incomplete, the value of gaining access to any given level of aggregate risk sharing is greater for countries that are members of a currency union. Second, we show that even if financial markets are complete, privately optimal risk sharing is constrained inefficient. A role emerges for government intervention in risk sharing both to guarantee its existence and to influence its operation. The constrained efficient risk-sharing arrangement can be implemented by contingent transfers within a fiscal union. We find that the benefits of such a fiscal union are larger, the more asymmetric the shocks affecting the members of the currency union, the more persistent these shocks, and the less open the member economies. Finally, we compare the performance of fiscal unions and of other macroeconomic stabilization instruments available in currency unions such as capital controls, government spending, fiscal deficits, and redistribution."
34,34,"We show that any well-behaved demand function can be represented by its ""demand manifold,"" a smooth curve that relates the elasticity and convexity of demand. This manifold is a sufficient statistic for many comparative statics questions; leads naturally to characterizations of new families of demand functions that nest most of those used in applied economics; and connects assumptions about demand structure with firm behavior and economic performance. In particular, the demand manifold leads to new insights about industry adjustment with heterogeneous firms, and can be empirically estimated to provide a quantitative framework for measuring the effects of globalization."
35,35,"We document in the Survey of Income and Program Participation covering the period 1990?2013 that a surprisingly large share of workers return to their previous employer after a jobless spell, and experience very different unemployment and employment outcomes than job switchers. The probability of recall is much less procyclical and volatile than the probability of finding a new employer. We add to a quantitative, and otherwise canonical, search-and-matching model of the labor market a recall option, which can be activated freely following aggregate and job-specific productivity shocks. Recall and search effort significantly amplify the cyclical volatility of new job-finding and separation probabilities."
36,36,"We study the effect of wealth on labor supply using the randomized assignment of monetary prizes in a large sample of Swedish lottery players. Winning a lottery prize modestly reduces earnings, with the reduction being immediate, persistent, and quite similar by age, education, and sex. A calibrated dynamic model implies lifetime marginal propensities to earn out of unearned income from -0.17 at age 20 to -0.04 at age 60, and labor supply elasticities in the lower range of previously reported estimates. The earnings response is stronger for winners than their spouses, which is inconsistent with unitary household labor supply models."
37,37,"A strategy is obviously dominant if, for any deviation, at any information set where both strategies first diverge, the best outcome under the deviation is no better than the worst outcome under the dominant strategy. A mechanism is obviously strategy-proof (OSP) if it has an equilibrium in obviously dominant strategies. This has a behavioral interpretation: a strategy is obviously dominant if and only if a cognitively limited agent can recognize it as weakly dominant. It also has a classical interpretation: a choice rule is OSP-implementable if and only if it can be carried out by a social planner under a particular regime of partial commitment."
38,38,"Do single women avoid career-enhancing actions because these actions signal undesirable traits, like ambition, to the marriage market? While married and unmarried female MBA students perform similarly when their performance is unobserved by classmates (on exams and problem sets), unmarried women have lower participation grades. In a field experiment, single female students reported lower desired salaries and willingness to travel and work long hours on a real-stakes placement questionnaire when they expected their classmates to see their preferences. Other groups' responses were unaffected by peer observability. A second experiment indicates the effects are driven by observability by single male peers."
39,39,"Most assets are traded in multiple interconnected trading venues. This paper develops an equilibrium model of decentralized markets that accommodates general market structures with coexisting exchanges. Decentralized markets can allocate risk among traders with different risk preferences more efficiently, thus realizing gains from trade that cannot be reproduced in centralized markets. Market decentralization always increases price impact. Yet, markets in which assets are traded in multiple exchanges, whether they are disjoint or intermediated, can give higher welfare than the centralized market with the same traders and assets. In decentralized markets, demand substitutability across assets is endogenous and heterogeneous among traders."
40,40,"A seller designs a mechanism to sell a single object to a potential buyer whose private type is his incomplete information about his valuation. The seller can disclose additional information to the buyer about his valuation without observing its realization. In both discrete-type and continuous-type settings, we show that discriminatory disclosure?releasing different amounts of additional information to different buyer types?dominates full disclosure in terms of seller revenue. An implication is that the orthogonal decomposition technique, while an important tool in dynamic mechanism design, is generally invalid when information disclosure is part of the design."
41,41,"Did the financial crisis in 2007?2008 spread from distressed banks to households through a contraction of the credit supply? We study this question with a dataset that contains observations on all accounts in Danish banks as well as comprehensive information about individual account holders and banks. We document that banks exposed to the financial crisis reduced their lending relative to nonexposed banks, which in turn caused a significant decrease in the borrowing and spending of their customers. The effects were persistent: borrowing remained lower through the postcrisis years and spending foregone during the crisis was not recovered."
42,42,"Rising home values also raise the cost of living, offsetting their impact on consumption. However, additional home equity collateral can loosen borrowing constraints, increasing spending for households that value their current endowment of housing highly. I use geographically linked microdata to exploit regional heterogeneity in housing markets and identify the causal effect of house price fluctuations on consumer spending. A $1 increase in home values leads to a $0.047 increase in spending for homeowners, but a negligible response for renters. Results reflect large responses among credit constrained households, suggesting looser borrowing constraints are a primary driver of the MPC out of housing wealth."
43,43,"We build a hybrid model of the aggregate labor market that features both standard labor supply forces and frictions in order to study the cyclical properties of gross worker flows across the three labor market states: employment, unemployment, and nonparticipation. Our parsimonious model is able to capture the key features of the cyclical movements in gross worker flows. Despite the fact that the wage per efficiency unit is constant over time, intertemporal substitution plays an important role in shaping fluctuations in the participation rate."
44,44,"We study the impact of large exchange rate devaluations on the cost of living at different points on the income distribution. Poor households spend relatively more on tradeable product categories and consume lower-priced varieties within categories. Changes in the relative price of tradeables and of lower-priced varieties affect the cost of living of low-income relative to high-income households. We quantify these effects following the 1994 Mexican devaluation and show that they can have large distributional consequences. Two years post-devaluation, the cost of living for the bottom income decile rose 1.48 to 1.62 times more than for the top income decile."
45,45,"Many organizations have budgets that expire at the end of the fiscal year and may face incentives to rush to spend resources on low-quality projects at year's end. We test these predictions using data on procurement spending by the US federal government. Spending in the last week of the year is 4.9 times higher than the rest-of-the-year weekly average, and year-end information technology projects have substantially lower quality ratings. We also analyze the gains from allowing agencies to roll over unused funds into the next fiscal year."
46,46,"Exploiting variation in the timing of resets of adjustable-rate mortgages (ARMs), we find that a sizable decline in mortgage payments (up to 50 percent) induces a significant increase in car purchases (up to 35 percent). This effect is attenuated by voluntary deleveraging. Borrowers with lower incomes and housing wealth have significantly higher marginal propensity to consume. Areas with a larger share of ARMs were more responsive to lower interest rates and saw a relative decline in defaults and an increase in house prices, car purchases, and employment. Household balance sheets and mortgage contract rigidity are important for monetary policy pass-through."
47,47,"A decision maker doubts the stationarity of his environment. In response, he uses two models, one with time-varying parameters, and another with constant parameters. Forecasts are then based on a Bayesian model averaging strategy, which mixes forecasts from the two models. In reality, structural parameters are constant, but the (unknown) true model features expectational feedback, which the reduced-form models neglect. This feedback permits fears of parameter instability to become self-confirming. Within the context of a standard asset-pricing model, we use the tools of large deviations theory to show that even though the constant parameter model would converge to the rational expectations equilibrium if considered in isolation, the mere presence of an unstable alternative drives it out of consideration."
48,48,"Researchers measure crowd-out around one level of charity output to identify whether giving is motivated by altruism and/or warm-glow. However, crowd-out depends on output, implying first that the power to reject pure altruism varies, and second that a single measurement of incomplete crowd-out can be rationalized by many different preferences. By instead measuring crowd-out at different output levels, we allow both for identification and for a novel and direct test of impure altruism. Using a new experimental design, we present the first empirical evidence that, consistent with impure altruism, crowd-out decreases with output."
49,49,"This paper models the optimal search strategies of the unemployed across space to characterize local labor markets. Our methodology allows for linkages between numerous areas, while preserving tractability. We estimate that labor markets are quite local, as the attractiveness of jobs to applicants sharply decays with distance. Also, workers are discouraged from searching in areas with strong competition from other job-seekers. However, as labor markets overlap, a local stimulus or transport improvements have modest effects on local outcomes, because ripple effects in job applications dilute their impact across a series of overlapping markets."
50,50,"We study the evolution of trade liberalization's effects on Brazilian local labor markets. Regions facing larger tariff cuts experienced prolonged declines in formal sector employment and earnings relative to other regions. The impact of tariff changes on regional earnings 20 years after liberalization was three times the effect after 10 years. These increasing effects on regional earnings are inconsistent with conventional spatial equilibrium models, which predict declining effects due to spatial arbitrage. We investigate potential mechanisms, finding empirical support for a mechanism involving imperfect interregional labor mobility and dynamics in labor demand, driven by slow capital adjustment and agglomeration economies. This mechanism gradually amplifies the effects of liberalization, explaining the slow adjustment path of regional earnings and quantitatively accounting for the magnitude of the long-run effects."
51,51,"Common views hold that the efficient way to limit warming to a chosen level is to price carbon emissions at a rate that increases exponentially. We show that this Hotelling tax on carbon emissions is actually inefficient. The least-cost policy path takes advantage of the climate system's inertia to delay reducing emissions and allow greater cumulative emissions. The efficient carbon tax follows an inverse-U-shaped path and grows more slowly than the Hotelling tax. Economic models that assume exponentially increasing carbon taxes are overestimating the cost of limiting warming, overestimating the efficient near-term carbon tax, and overvaluing technologies that mature sooner."
52,52,"The demand for air quality depends on health impacts and defensive investments, but little research assesses the empirical importance of defenses. A rich quasi-experiment suggests that the Nitrogen Oxides (NOx) Budget Program (NBP), a cap-and-trade market, decreased NOx emissions, ambient ozone concentrations, pharmaceutical expenditures, and mortality rates. The annual reductions in pharmaceutical purchases, a key defensive investment, and mortality are valued at about $800 million and $1.3 billion, respectively, suggesting that defenses are over one-third of willingness-to-pay for reductions in NOx emissions. Further, estimates indicate that the NBP's benefits easily exceed its costs and that NOx reductions have substantial benefits."
53,53,"We consider a class of dynamic collective action problems in which either a single principal or two competing principals vie for the support of members of a group. We focus on the dynamic problem that emerges when agents negotiate and commit their support to principals sequentially. We show that competition reduces agents' welfare with public goods, or if and only if there are positive externalities on uncommitted agents, and increases agents' welfare with public bads. We apply the model to the study of corporate takeovers, vote buying, and exclusive deals."
54,54,"We demonstrate the importance of politician social networks for electoral outcomes. Using large-scale data on family networks from over 20 million individuals in 15,000 villages in the Philippines, we show that candidates for public office are disproportionately drawn from more central families and family network centrality contributes to higher vote shares during the elections. Consistent with our theory of political intermediation, we present evidence that family network centrality facilitates relationships of political exchange. Moreover, we show that family networks exercise an effect independent of wealth, historical elite status, or previous electoral success."
55,55,"I model the equilibrium risk sharing between countries with varying financial development. The most financially developed country takes greater risks because its financial intermediaries deal with funding problems better. In good times, the more financially developed country consumes more and runs a trade deficit financed by the higher financial income that it earns as compensation for taking greater risk. During global crises, it suffers heavier losses. Its currency emerges as the reserve currency because it appreciates during crises, thus providing a good hedge. I provide evidence that financial net worth plays a crucial role in understanding this asymmetric risk sharing."
56,56,"This paper examines the aftermath of postwar financial crises in advanced countries. We construct a new semiannual series on financial distress in 24 OECD countries for the period 1967-2012. The series is based on assessments of the health of countries' financial systems from a consistent, real-time narrative source, and classifies financial distress on a relatively fine scale. We find that the average decline in output following a financial crisis is statistically significant and persistent, but only moderate in size. More important, we find that the average decline is sensitive to the specification and sample, and that the aftermath of crises is highly variable across major episodes. A simple forecasting exercise suggests that one important driver of the variation is the severity and persistence of financial distress itself. At the same time, we find little evidence of nonlinearities in the relationship between financial distress and the aftermaths of crises."
57,57,"We estimate the causal effect of sovereign default on the equity returns of Argentine firms. We identify this effect by exploiting changes in the probability of Argentine sovereign default induced by legal rulings in the case of NML Capital, Ltd. v. Republic of Argentina. We find that a 10 percent increase in the probability of default causes a 6 percent decline in the value of Argentine equities and a 1 percent depreciation of a measure of the exchange rate. We examine the channels through which a sovereign default may affect the economy."
58,58,"We extend search theory to multiple indivisible units and perfectly divisible assets, solving them respectively with induction and recursion. Buyer demands and prices are random, and the seller can partially exercise orders. With divisible assets, the Bellman value function is increasing and strictly concave, and the optimal reservation price falls in the position, reflecting increasing holding costs (opportunity cost of delaying optionality for inframarginal units). The marginal value exists, and is strictly convex with a falling purchase cap density. Our model is amenable to price-quantity bargaining; e.g., greater buyer bargaining power is tantamount to greater search frictions."
59,59,"This paper shows that employment in cohorts of US firms is strongly influenced by aggregate conditions at the time of their entry. Employment fluctuations of startups are procyclical, they persist into later years, and cohort-level employment variations are largely driven by differences in firm size, rather than the number of firms. An estimated general equilibrium firm dynamics model reveals that aggregate conditions at birth, rather than post-entry choices, drive the majority of cohort-level employment variation by affecting the share of startups with high growth potential. In the aggregate, changes in startup conditions result in large, slow-moving fluctuations in employment."
60,60,"Two identical firms who start exporting in different months, one each in January and December, will report dramatically different exports for the first calendar year. This partial-year effect biases down first-year export levels and biases up first-year export growth rates. For Peruvian exporters, the partial-year bias is large: first-year export levels are understated by 54 percent and the first-year growth rate is overstated by 112 percentage points. Correcting the partial-year effect dramatically reduces first-year export growth rates, raises initial export levels, and almost doubles the contribution of net firm entry and exit to overall export growth."
61,61,"Coibion, Gorodnichenko, and Hong (2015) argue that the CPI underestimates the deceleration in consumer prices during economic downturns because the index fails to account for the reallocation of consumer spending from high-price to low-price stores. We show that their conclusion hinges on some nonstandard methodological choices, including an aggressive censoring of price adjustments and a treatment for missing observations that can leave out some of the price variation. Under our preferred methodology, the regression results no longer indicate that greater store switching during downturns is a statistically or economically significant phenomenon."
62,62,Kurmann and Otrok (2013) establish that the effects on economic activity from news on future productivity growth are similar to the effects from unexpected changes in the slope of the yield curve. This comment shows that these results become substantially weaker in the light of a recent update in the utilization-adjusted total factor productivity series produced by Fernald (2014).
63,63,"This reply to Cascaldi-Garcia's (2017) comment argues that by using the original code of Kurmann and Otrok (2013) with new data on utilization-adjusted TFP, Cascaldi-Garcia (2017) confounds positive and negative news shocks. With a small modification to the code--how a news shock is signed as positive--we obtain news shock responses consistent with Sims (2016) and Kurmann and Sims (2017) and largely reestablish the results of Kurmann and Otrok (2013)."
64,64,"We investigate the empirical relationship between ethnicity and culture, defined as a vector of traits reflecting norms, values, and attitudes. Using survey data for 76 countries, we find that ethnic identity is a significant predictor of cultural values, yet that within-group variation in culture trumps between-group variation. Thus, in contrast to a commonly held view, ethnic and cultural diversity are unrelated. Although only a small portion of a country's overall cultural heterogeneity occurs between groups, we find that various political economy outcomes (such as civil conflict and public goods provision) worsen when there is greater overlap between ethnicity and culture."
