,abstract,top_journal
10,"Though checks' popularity is now waning in favor of electronic payments, checks were, for much of the twentieth century, the most widely used noncash payment method in the United States. How did such a relatively inefficient form of payment become so dominant? This article traces the historical evolution of the check, focusing on its relation to complementary and competing payment technologies. ; Originating in the eastern Mediterranean during the first millennium as a convenient form of payment between local merchants, checks became more versatile through the development of negotiability in sixteenth-century Europe. The suppression of banknotes in eighteenth-century England further promoted the use of checks. In the United States, nineteenth-century legislation discouraged other payment methods and eventually led to a nationwide check payment system. In the twentieth century, under the Federal Reserve's leadership, checks expanded rapidly and became the nation's default payment method. ; The authors discuss some persistent historical themes surrounding checks: checks' ease of use, which provides advantages over other payment methods but creates risk to businesses and banks; checks' sophistication, which evolved through centuries of legal precedent and operational experimentation; and checks' high costs relative to other forms of payment. ; Checks' traditional dominance of the U.S. payment system, the authors conclude, resulted from historical happenstances. These events gave the check relative advantages that are only now being overcome by electronic payment technologies.",0
11,"This interview, conducted shortly after the Atlanta Fed's 2007 Financial Markets Conference, discusses credit derivatives and their importance to the market and outlines key themes of the conference.",0
12,"Arising from financial institutions' need to hedge and diversify credit risk, credit derivatives have now become a major investment tool. Almost all credit derivatives take the form of the credit default swap, which transfers default risk from one party to another. Most credit default swaps were once written on single names, but since 2004 the major impetus to growth and market liquidity has been credit default swaps on indexes. ; This paper examines the mechanics, risks, and market for credit default swaps, provides an overview of pricing and dealers' risk-management role, discusses the costs and benefits of credit derivatives, and outlines some recent policy issues. ; The author notes that, in the early years of credit derivatives, the major challenges facing these instruments involved resolving ambiguities in reference entities and defining credit events. Since the introduction of index trading and the widespread entry of hedge funds, however, the challenges have been settlement after credit events and addressing operational backlogs stemming from an increase in novations. Now that hedge funds are an established part of the market, the next important issue is likely to be whether credit derivatives activity will move to exchanges.",0
13,"The striking growth of credit derivatives suggests that market participants find them to be useful tools for risk management. This paper illustrates credit derivatives' value with three examples: a commercial bank using credit derivatives to manage loan portfolio risk; an investment bank using them to manage the risks of underwriting securities; and an investor, such as an insurance company, asset manager, or hedge fund, using them to align credit risk exposure with a desired credit risk profile. ; But credit derivatives pose risk-management challenges of their own; the author discusses five of these challenges. Credit derivatives can transform credit risk in intricate ways that may not be easy to understand. They can create counterparty credit risk that itself must be managed. Complex credit derivatives rely on complex models, leading to model risk. Credit rating agencies interpret this complexity for investors, but their ratings can be misunderstood, creating rating agency risk. And the settlement of a credit derivative contract following a default can have its own complications, creating settlement risk. For the credit derivatives market to continue its rapid growth, market participants must find ways to meet these risk-management challenges.",0
14,"This paper explores some bigger-picture risks associated with credit derivatives. Drawing a distinction between the market's perception of credit and ""real credit"" as reflected in the formal definition of a credit event, the author examines the well-documented macro drivers of credit generally. ; The author next enumerates frequently cited concerns with credit derivatives: the exceedingly large notional trade in credit default swaps relative to outstanding debt, the increasing involvement of hedge funds in these products, and operational concerns that have surfaced in the past year or two. ; The paper then considers the possibilities of associated systemic risk, looking at the issues of modeling and proper hedging, risk management, and valuation of new and sometimes complex credit derivative instruments. ; Despite the inherent risks involved in credit derivatives, the market for these instruments continues to grow rapidly as people find them practical and beneficial for hedging risk, generating income, and distributing credit risk among a broader institutional base. Evolving market practices and safeguards should help establish a more efficient, transparent marketplace. Whether credit risk is best allocated outside of the traditional financial intermediaries remains an open question.",0
15,"This article assesses the extent to which changes in public policy regarding depository institutions have aligned with the recommendations made twenty years ago in Perspectives on Safe and Sound Banking (Benston et al. 1986). Several legislative initiatives and bank regulatory and supervisory changes during the past two decades have been in keeping with Benston and his coauthors' recommendations and analyses. But other recommendations in the book have not been followed, and some proposals the book rejected have been enacted through legislation or regulation. ; The article focuses in turn on Benston et al.'s principal recommendations and then discusses and analyzes subsequent related legislative, regulatory, and supervisory developments.",0
16,"The author illustrates the extent to which ensuing regulatory changes conform to the prescriptions of Perspectives on Safe and Sound Banking. He probes whether relatively untested regulatory strictures, such as prompt corrective action, will prevail when banking is heavily stressed. He then discusses how ""home-run regulation"" extends the reach of individual states' bank charters nationwide and whether the Fed will eventually regulate financial institutions marketwide.",0
17,"This commentary reviews three of the major innovations suggested in Benston et al. (1986): movement toward greater risk-sensitive approaches, an enhanced role for market discipline and disclosure, and earlier intervention for troubled banks. The author then discusses environmental changes that may not have been anticipated two decades ago and some implications for bank supervision and regulation.",0
18,"Although the banking system appears to be safer and sounder today than it was two decades ago, new risk challenges have arisen that could not have been anticipated in the 1980s. This article outlines the fundamental structural changes in the U.S. commercial banking industry since then. ; The author's strategic analysis of the current state of the industry compares the ""transactions banking"" business model practiced by large financial companies to the more traditional relationship-based banking business model. In particular, the author focuses on the different production technologies, product mixes, strategic behaviors, and risk-return trade-offs that characterize these two opposite approaches. In closing, the article discusses what these new developments may mean for the industry's ongoing safety and soundness.",0
19,"The author discusses three areas she considers important in the evolution of the financial services industry: consolidation and the economies gained from it, governance issues that emerge as the structure of the banking industry changes, and the decline in the market share of banking. This decline in market share, she believes, may reflect a decline in demand for deposits rather than a decline in demand for relationship lending.",0
20,"Comparing and contrasting the U.S. banking and financial system in 1986 and in 2006, the author notes that the most notable difference is the current system's resilience and health in spite of some significant shocks. One reason for this health, he believes, is the changing bank supervisory environment, particularly the move toward stronger capital standards and more risk-focused supervision. Among other positive developments he highlights are the increase in market discipline and improvements in risk measurement and management.",0
21,"This article identifies underresearched and/or underappreciated issues that affect bank safety and soundness or financial system stability. The author begins by discussing the goals of safety and soundness supervision and then focuses on seven imperfectly understood, and often intertwined, issues: credit rating agencies; the combination of banking and commerce; nationwide depositor preference and the distribution of liability-holders' risk exposures; systemic risk; capital adequacy; market discipline; and credible resolution procedures for the failure of large financial firms. Many of these open issues are similar to those that Benston et al. discussed in 1986, and all deserve serious scholarly attention, the author notes.",0
22,"To further improve bank safety and soundness in the years ahead, the author makes two recommendations: that banks be examined and rated specifically on their organizational complexity and that systemically important banks that are too big to resolve quickly be recapitalized according to a model that is known in advance by their competitors and by the general public.",0
23,"This commentary focuses on two specific issues. The first asks, What are the market failures that actually create the need for the public regulation of bank safety and soundness? The second issue concerns the safety and soundness issues created by the two mortgage government-sponsored enterprises, Fannie Mae and Freddie Mac, whose very large financial obligations pose a serious systemic risk threat to U.S. financial markets.",0
24,"In 1986 the American Bankers Association asked five banking academics to assess and recommend policy options to improve the banking system's efficiency, performance, and safety. The report these five economists produced, Perspectives on Safe and Sound Banking: Past, Present, and Future, has in many ways served as a roadmap for ensuing bank regulatory reforms. In this roundtable discussion, each of the five authors reflects on the past twenty years and the current status of the banking industry and, in some cases, shares thoughts about the industry's future direction.",0
25,"Market frictions, which exist even in efficient markets and change over time, impede trade but also offer profit opportunities. To provide a framework for understanding market frictions, the authors classify frictions into five categories.",0
26,"The authors estimate a model that provides a single indicator for the southeastern economy, making it easier for policymakers and analysts to assess regional economic conditions and compare them to the broader economy.",0
27,"Cigarette smoking is costly in terms of not only its effects on smokers' health but also the direct and indirect financial costs it imposes on smokers and their families. For instance, premature death caused by smoking may redistribute Social Security income in unexpected ways that affect behavior and reduce the economic well-being of smokers and their dependents. ; This article examines the effects of smoking-attributable mortality on the net marginal Social Security tax rate (NMSSTR)—the difference between the statutory payroll tax rate and the present value of future benefits to which a covered worker is entitled. ; The analysis shows that smokers, as a result of shorter life expectancies, incur a higher NMSSTR than nonsmokers. This higher tax rate could have implications for both labor supply behavior and the Social Security System's funding. ; The authors note that smoking status should be considered in assessing Social Security legislative proposals designed to reduce system inequities or promote social adequacy—in particular, amendments designed to reduce poverty among young widows and widowers. Failure to take smoking status into account may unintentionally promote behavior that is detrimental to health.",0
29,"The dramatic increase in the number of hedge funds and the ""institutionalization"" of the industry over the past decade have spurred rigorous research into hedge fund performance. This research has tended to uncover more questions than answers about the dynamic and multifaceted hedge fund industry. ; This article presents a simple hedge fund business model in which fund returns are a function of three key elements -- how the funds trade, where they trade, and how the positions are financed. The article also provides methods to help investors, intermediaries, and regulators identify systemic risk factors inherent in hedge fund strategies. ; Estimating these risk factors requires having an accurate history of hedge fund performance. The authors examine recent statistics from three commercial hedge fund databases and discuss the problems with database biases that must be recognized to obtain accurate measures of returns. ; While the data show that today's hedge funds use myriad strategies that have no uniform definition, the proposed business model implies that hedge fund managers are diversifying in order to maximize the enterprise value of their firms. But this diversification does not preclude the risk of leveraged opinions converging onto the same set of bets. Preventing convergence risk will require action by investors, intermediaries, regulators, and fund managers to improve industry-level disclosure and transparency while preserving the privacy of individual hedge funds' positions.",0
30,"A recent Securities and Exchange Commission (SEC) ruling requiring hedge fund advisers to register with the SEC aims to foster conduct and compliance to better protect hedge fund investors. This article focuses on investor protection regulation, considering its goals and likely costs and benefits. After reviewing some alternative regulatory approaches, the author examines the current U.S. regulatory structure for hedge funds, which has, perhaps unwittingly, separated hedge fund investors into two distinct classes -- retail and wholesale -- defined by wealth levels. ; The SEC's recent ruling reflects its concern about the growing ""retailization"" of hedge funds -- the increasing ability of less qualified (retail) investors to access hedge fund investments -- as general wealth levels rise and as more affordable investments, such as funds of hedge funds (FoFs), proliferate. In addition, institutional investors have increased their investments in hedge funds, exposing even more individual investors, at least indirectly, to a type of risk they may be unfamiliar with. ; The author believes that the costs of increased regulatory protection for hedge fund investors will ultimately prove to outweigh the benefits, and he argues that hedge fund investment strategies be made more, not less, accessible to a broader array of retail investors. In particular, he recommends that the SEC consider authorizing FoFs under a regulatory structure that better enables hedge funds to pursue absolute-return strategies so that retail investors can benefit from them.",0
31,"Conventional thinking about governance issues for hedge funds is to view them as mutual funds or money managers. This article proposes an alternative view -- that hedge fund governance is best understood by looking at limited partnerships or public firms that are similar in terms of either their assets or liabilities. This reasoning suggests that most hedge funds can be classified into only two groups for the purpose of understanding governance issues: funds that engage in proprietary trading and those that are more like private equity partnerships. ; The analysis implicitly explains why proprietary-trading-like hedge funds replaced the unlimited liability partnerships of the Wall Street investment houses that preceded them: Unlimited liability partnerships require higher opportunity costs of capital than hedge funds with strong incentive contracts. ; Similarly, the separation of ownership and control associated with proprietary trading in a public firm suggests that this organizational form is viable only for those entities that have substantial franchise values based on reputation. From this perspective, private-equity-like hedge funds are much like niche firms in the larger private equity universe ; The analysis in this article provides the scaffolding for assessing the net burden of regulation, the author concludes, but the real heavy lifting requires a more detailed explication of the nature of and limits to contractibility in these markets.",0
32,"Traditional economic wisdom holds that a corporation’s sole goal should be to maximize shareholder wealth. But some investors believe that firms should also act as agents for social change. Activist investors use their shareholder rights to place socially responsible resolutions on corporate proxy statements to be voted on by all shareholders. ; This article examines the controversy behind corporate social responsibility (CSR) and identifies and categorizes activist investors, their objectives, and the firms they target. Using data from the Investor Responsibility Research Center (IRRC) on 2,829 CSR shareholder proposals from 1992 to 2002, the author finds that religious organizations and individuals made the largest number of proposals, but in 2000 proposals by socially responsible mutual funds began to outnumber those by individuals. The three most common proposal topics were international conduct, environmental issues, and antidiscrimination. ; Of the 566 different corporations targeted, seventy-three were targeted ten times or more. Larger, economically powerful firms—especially those that value consumer goodwill and have the “name” to aid in social change—were most often targeted. ; Because a withdrawn resolution usually signals an action by the corporation—dialogue, agreement to resolution, or some other compromise—the author argues that withdrawn proposals can be used as measure of activism’s success. The IRRC data and her own extensive research on the outcome of withdrawn proposals support this argument.",0
33,"While many empirical economists claim that energy price shocks drive U.S. business cycles, economists using dynamic stochastic general equilibrium (DSGE) models believe that business cycles are caused mainly by productivity shocks. ; The authors reconcile the two views by constructing a DSGE model that incorporates energy use into the production function. Calibrating the model properties to match annual U.S. data from 1970 to 2005, they undertake two different experiments. The first incorporates a negative correlation between energy prices shocks and productivity as observed before 1985, and the second, without this correlation, mimics the current period. ; Their simulation confirms the findings of the econometric literature that energy price shocks reduced real output growth prior to 1985. The model simulation without the correlation explains why in 1986, when energy prices fell, there was no major increase in growth rates and, most important, why there was no recession in 2005, when energy prices rose. ; The authors conclude that the modern economy, represented by the period after 1985, is very resilient to energy price increases. Price controls on energy in the 1970s, the authors argue, may have done more harm than good, and they caution that policies inhibiting the functioning of free markets could again make the economy susceptible to energy price–induced recessions.",0
34,"Founded in 1932, the twelve Federal Home Loan Banks (FHLBs) have historically provided long-term funding to specialized mortgage lenders. But legislative changes in the wake of the 1980s’ thrift crises spurred the FHLBs to expand in both size and scope. For example, FHLB balance sheets now also include a substantial investment in mortgages and mortgage-backed securities, and the attendant interest rate risk has created financial and accounting difficulties at some of the FHLBs. ; Like Fannie Mae and Freddie Mac, the FHLB System is a government-sponsored enterprise that funds itself largely with federal agency debt obligations that investors perceive to be implicitly guaranteed by the U.S. government. This article identifies some differences in risk-taking incentives between the cooperatively owned FHLB System and investor-owned Fannie Mae and Freddie Mac. ; Cooperative ownership itself does not reduce FHLB risk-taking incentives because, unlike many mutuals, the FHLB System does not bundle its equity and debt claims. Also, the joint-and-several liability provision in the FHLBs’ consolidated debt obligations and a lack of equity market discipline may heighten FHLB risk-taking incentives. However, the FHLBs cannot avail themselves of equity-based managerial compensation, which create high-powered risk-taking incentives in investor-owned firms. Thus, it is unclear whether the FHLBs’ risk-taking incentives are necessarily weaker than Fannie Mae’s and Freddie Mac’s.",0
35,"In January 2000 Ecuador adopted the U.S. dollar as legal tender, and El Salvador followed suit in 2001. The two countries officially dollarized under quite different circumstances: Ecuador was suffering an economic and banking crisis, while El Salvador enjoyed economic stability and low inflation rates. This article studies the evolution of the banking system in these two countries before and after official, or full, dollarization. ; In Ecuador the reforms that ensued from full dollarization have improved transparency and banking performance and competitiveness, but the implementation and enforcement of regulations remain weak, and accounting standards still deviate from international norms. In El Salvador, whose banking regulations are comparable to international standards, full dollarization has improved bank performance despite economic deceleration, increasing the banking system’s competitiveness in Central America. ; Overall, full dollarization has enabled both Ecuador and El Salvador to modernize and improve banking regulations and the safety and soundness of the banking system, the authors conclude. They find that official dollarization, along with other macroeconomic and financial structure factors, has played a significant role in improving bank liquidity and asset quality. Bank profitability has responded to variables that are bank specific. ; It is still too early, the authors note, to predict whether dollarization’s benefits will be sustainable over the long term.",0
36,"For policymakers, identifying the factors contributing to changes in labor force participation over time is important for setting appropriate policy regarding the nation’s productivity. Although the factors contributing to such changes over the past six decades have been well documented, more recent trends in women’s labor force participation beg further scrutiny. ; This article dissects the changes in the labor force participation rate over the past thirty years among women aged twenty-five to fifty-four. Using Current Population Survey data from the Bureau of Labor Statistics, the author focuses especially on the unprecedented 2.7 percentage point decline in women’s participation rate between 2000 and 2005. While changes in the observed behavior of educated women and in characteristics such as the number of young children have contributed to the decline, the results suggest that the largest contributors have been unobserved changes. From a policy perspective, the presence of unobservables is not very satisfying or informative. Nonetheless, the large role of unobservables in determining labor force participation rates suggests that a rebound to participation rates seen in 2000 is not obviously forthcoming or likely to be easily predictable. The next step in studying these trends, the author believes, is further investigation of how labor force participation decisions are made in a family context and how these decisions have changed over time. ; From a policy perspective, the presence of unobservables is not very satisfying or informative. Nonetheless, the large role of unobservables in determining labor force participation rates suggests that a rebound to participation rates seen in 2000 is not obviously forthcoming or likely to be easily predictable. The next step in studying these trends, the author believes, is further investigation of how labor force participation decisions are made in a family context and how these decisions have changed over time.",0
37,"In the constant search for better models to help guide policy decisions, central banks have begun to use and develop dynamic stochastic general equilibrium (DSGE) models. Although such models were until recently considered theoretically sound but overly restrictive, newly developed methods have proved successful in specifying DSGE models that fit the macroeconomic data well. ; Policy institutions that use DSGE models in policymaking need a reliable method for evaluating the models’ effectiveness. This article reviews a procedure recently proposed by the authors and their colleagues. The article first describes how the linear DSGE model can be nested in a vector autoregression (VAR) and then outlines a procedure that can systematically relax the restrictions the DSGE model imposes on the VAR. ; Using the resulting DSGE-VAR specification as a framework, the authors compare the fit and forecasting performance of a DSGE model with several nominal and real rigidities. They use the DSGE-VAR framework to assess the relative importance of different frictions, with particular emphasis on wage and price indexation and habit formation. The DSGE-VAR framework also provides a benchmark that can reveal in what dimensions a DSGE model needs to be improved. ; This DSGE-VAR procedure, the authors believe, shows some promise in delivering robust evaluations of DSGE models.>",0
38,"Maintaining stables prices and keeping inflation in check have become key policy objectives of the Federal Reserve and other central banks. Evidence indicates that inflation has become less persistent and volatile since the early 1980s. Although economists have examined the implications for inflation modeling and forecasting, little information exists about whether changes or instabilities in inflation dynamics coincide with specific economic events such as oil price shocks or recessions. ; This article studies U.S. monthly inflation, inflation growth, and price level dynamics from January 1967 to September 2005. The author employs four price level measures—two versions of the monthly consumer price index and two versions of the monthly personal consumption expenditure deflator—with the goal of identifying possible instabilities in these dynamics. ; Autoregressive, moving average, and unobserved components models provide estimates on various aspects of inflation and price levels. Two rolling samples spanning the 1967–2005 period are constructed to uncover evidence about possible instability in mean inflation and the persistence and volatility of inflation and inflation growth. ; One way to summarize the empirical results is that this instability coincides with different economic events such as the oil price shocks of the 1970s or the end of the 1990–91 recession. An unresolved question is whether such changes are one-time events or can be expected to be repeated systematically in the future.",0
39,"Many economists believe that a central bank’s transparency about its objectives, economic outlook, and policy changes affect the public’s views about future economic and financial conditions. In keeping with this theory, since 1994 the Federal Open Market Committee has gradually increased the transparency of its statements accompanying changes in the federal funds rate target. ; This article investigates whether private agents’ ability to predict the economy’s direction has improved since 1994. The analysis focuses on forecasts of macroeconomic variables such as inflation, gross domestic product growth, and unemployment and policy variables such as short-term interest rates. Private agents’ current-year and next-year forecasts in the monthly Blue Chip Economic Indicators surveys from 1986 to 2004 serve as proxies for the public’s short-term and longer-term expectations. ; The econometric methodology decomposes forecast accuracy into two components: the common error that affects all individual participants and the idiosyncratic error that reflects discrepant views among individuals. The analysis indicates that idiosyncratic errors have steadily declined and individuals’ forecasts have been more synchronized since 1994 while common forecast errors—likely associated with business cycles and other economic shocks—have been largely unaffected. ; Although these findings show little evidence that transparent monetary policy enhances the public’s ability to predict business cycles, the authors note that the data sample may not be long enough to reveal such effects.",0
40,"Each year, hundreds of millions of credit and debit cardholders make billions of transactions worth trillions of dollars. Yet few consumers are aware that such transactions travel through, and are made possible by a highly evolved group of intermediaries that sign up merchants to accept cards, handle card transactions, manage the dispute-resolution process, and, along with regulatory agencies, set rules that govern card transactions. ; This article demystifies the “Black Box” of the transactions process for payment cards. After describing a simple transaction with a private-label card, the author then considers the complications introduced by general-purpose cards, such as Visa and MasterCard, emphasizing the key roles of merchant acquirers and card processors. ; Merchant acquirers, who sign up merchants to accept cards and who provide or arrange for processing, bear most of the risk of loss if merchants fail to make good on credit transactions disputed by customers. To guard against such losses, acquirers carefully evaluate the credit quality of merchants seeking or using the acquirers’ services. ; The article delineates some of the risk factors associated with specific industries, merchant types, and transactions that influence the price merchants pay for acquirers’ services. Finally, the article discusses some ways that merchant acquirers manage risk, especially the risk of fraud.",0
41,"The progressive globalization of markets has sparked a worldwide interest in using economic indicators to analyze cyclical fluctuations. Governments and the private sector seeking to conduct their activities in light of both national and international economic conditions could benefit from international indicators that serve as a warning system to detect recessions in major economic partners and in industrialized countries as a whole. ; This article constructs just such a warning system. Using a Markov-switching dynamic factor model with a self-adjusting variable-bandwidth filter, the authors construct business cycle indicators for G7 countries and for an aggregate measure of output by twenty-nine member countries of the Organisation for Economic Co-operation and Development (OECD). The model yields probabilities of the current business cycle phase for each G7 country and for the aggregate OECD and G7 output measures and reveals a common cycle underlying the OECD countries that characterizes an international business cycle. ; The proposed filter sorts out minor contractions and estimates only major economic recessions and expansions, thereby minimizing the occurrence of false turning points. This quality is especially important for central banks that may want to adjust monetary policy only in the event of major recessions affecting a broad set of economic sectors.",0
42,"In many countries in recent years, failure to efficiently resolve large insolvent banks has come at a high cost both to taxpayers and to the countries’ aggregate income. The increasing entry of foreign banks has complicated the resolution process. ; This article explores some special problems in the efficient resolution of insolvent banks raised by cross border banking, particularly weighing the costs and benefits of foreign bank entry via branches versus subsidiary banks. These problems lie primarily in the cross country differences in both the closure rule and the deposit insurance structure. ; The authors propose a four-point program for resolving insolvent institutions efficiently but note that the presence of foreign-owned banks may make adhering to these principles difficult. To mitigate these problems, the authors propose several policies: central multinational deposit insurance, a single insolvency resolution agency, and common or harmonized laws regarding insolvency resolution and enforcement. ; In the absence of such policies, the authors suggest that entry by way of subsidiaries rather than branches presents the lesser set of problems for the host country. For all forms of entry, they conclude, resolution costs can be most effectively controlled through the universal adoption of well-designed and enforced prompt corrective action policies and legal closure rules based on market values of assets and liabilities.",0
43,"The agencies that regulate banks are involved in an ongoing debate about the appropriate way for banks and other lenders to account for default risk on loans. Accounting authorities are concerned with whether the accounting method meets the needs of general-purpose users of financial statements, particularly investors. In contrast, bank supervisors are concerned about banks being inadequately capitalized and possibly failing. ; To shed light on this debate, this article reviews the generally accepted accounting principles (GAAP) currently used, which are based on historic-cost values for assets and liabilities. It then analyzes economic-value, or fair-value, accounting, which is being discussed as a substitute. ; The analysis suggests that the reported GAAP value is likely to understate the economic value of most banks’ portfolios most of the time. The economic values of loans would be more valuable if they were reliable. However, the authors argue, the fair value of credit losses must be estimated by management and hence may be biased by managerial attempts to attain earnings and capital targets. ; The authors conclude that using the lower of historic cost or economic value for valuing the credit risk of loans would provide the most relevant adequately reliable measure of loan value and would thus be the most appropriate procedure.",0
44,"The housing sector’s important role in the U.S. economy is hard to miss: Real estate held in household portfolios in 2004 was worth $17 trillion, and the mortgage market now totals more than $7.5 trillion. ; To understand how this sector and related government policies affect households and the economy, economists attempt to incorporate housing and housing finance into heterogeneous agent models—macroeconomic models that capture the economic and demographic diversity among households. This article provides a progress report on this line of research via a discussion of four papers, presented at an Atlanta Fed conference in May 2005, that use such models. ; The author first presents microlevel data on income, real estate, and mortgage debt across the population. He then outlines a generic model with housing that incorporates the life-cycle pattern. This pattern implies two important features the model must include: the hump-shaped rise and fall in earnings that the average household experiences over time and a realistic life span that captures the different mortality risks among households of different age groups. ; The four papers discussed use variations of the basic model to explore the life-cycle behavior of housing versus nonhousing consumption, the effect of house prices changes on the macroeconomy, the effect on households of the availability of different mortgage contracts, and the effect on households of subsidizing mortgage interest rates.",0
45,"In the ongoing debate over Social Security, private accounts have been recommended as one part of the resolution of the funding difficulties the system faces in coming years. This article discusses what private accounts can and cannot do for individuals who choose to use them and for future Social Security deficits. ; Under current proposals, private accounts would give account holders personal ownership rights and could be willed to heirs at death. Most proposals would limit the range of assets that can be held but would permit account owners to determine their investments based on personal risk preferences. To the extent that financial asset returns can be higher than returns on Social Security, private accounts can be more worthwhile for those with a longer time until retirement because any difference in returns can compound over a longer period. ; Private accounts carry the risks inherent in holding financial assets, but Social Security carries a real risk of lower benefits in the future. Holders of private accounts would be trading one type of risk for another. ; The creation of private accounts can reduce Social Security’s future problems if the reductions in benefits in exchange for deposits in private accounts reflect the initial deposit plus interest earned.>",0
